step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
261,26100000000,26099958900,100000000,100012700,0.133415666
262,26200000000,26200033300,100000000,100074400,0.134146666
263,26300000000,26300029900,100000000,99996600,0.133347250
264,26400000000,26399982000,100000000,99952100,0.133405750
265,26500000000,26500028400,100000000,100046400,0.133482250
266,26600000000,26600031700,100000000,100003300,0.133078083
267,26700000000,26700046900,100000000,100015200,0.133391125
268,26800000000,26800029600,100000000,99982700,0.133247750
269,26900000000,26899955000,100000000,99925400,0.133814458
270,27000000000,26999971100,100000000,100016100,0.133753500
271,27100000000,27100022400,100000000,100051300,0.133483333
272,27200000000,27200197900,100000000,100175500,0.134057708
273,27300000000,27299989200,100000000,99791300,0.133175958
274,27400000000,27400029300,100000000,100040100,0.132671416
275,27500000000,27500024400,100000000,99995100,0.133991917
276,27600000000,27600028900,100000000,100004500,0.133307917
277,27700000000,27699956200,100000000,99927300,0.133719083
278,27800000000,27800046300,100000000,100090100,0.132768708
279,27900000000,27900029300,100000000,99983000,0.133641542
280,28000000000,28000739600,100000000,100710300,0.134259875
281,28100000000,28099966400,100000000,99226800,0.133085792
282,28200000000,28199950100,100000000,99983700,0.132559916
283,28300000000,28300049600,100000000,100099500,0.133186166
284,28400000000,28400021900,100000000,99972300,0.133453125
285,28500000000,28500039000,100000000,100017100,0.133965084
286,28600000000,28600020900,100000000,99981900,0.133691875
287,28700000000,28699950600,100000000,99929700,0.133854541
288,28800000000,28799961900,100000000,100011300,0.133510000
289,28900000000,28900035200,100000000,100073300,0.134023292
290,29000000000,29000017700,100000000,99982500,0.133680583
291,29100000000,29100037400,100000000,100019700,0.132233708
292,29200000000,29200030400,100000000,99993000,0.131761875
293,29300000000,29300032100,100000000,100001700,0.133601833
294,29400000000,29400030200,100000000,99998100,0.133404041
295,29500000000,29500032900,100000000,100002700,0.133341667
296,29600000000,29600037300,100000000,100004400,0.133451666
297,29700000000,29699970700,100000000,99933400,0.133330459
298,29800000000,29799951300,100000000,99980600,0.134173500
299,29900000000,29899959500,100000000,100008200,0.133235000
300,30000000000,29999950800,100000000,99991300,0.133257166
301,30100000000,30099955500,100000000,100004700,0.133681375
302,30200000000,30199942900,100000000,99987400,0.133807458
303,30300000000,30299964200,100000000,100021300,0.133857417
304,30400000000,30400046000,100000000,100081800,0.133919916
305,30500000000,30500021000,100000000,99975000,0.133628458
306,30600000000,30599949900,100000000,99928900,0.133098000
307,30700000000,30699986900,100000000,100037000,0.133680417
308,30800000000,30800032200,100000000,100045300,0.133838042
309,30900000000,30900061700,100000000,100029500,0.133827459
310,31000000000,30999968200,100000000,99906500,0.133889375
311,31100000000,31099965200,100000000,99997000,0.134873209
312,31200000000,31199970000,100000000,100004800,0.133420208
313,31300000000,31299998400,100000000,100028400,0.133930958
314,31400000000,31400026900,100000000,100028500,0.133836917
315,31500000000,31499954800,100000000,99927900,0.133330167
316,31600000000,31600031900,100000000,100077100,0.133586708
317,31700000000,31700024800,100000000,99992900,0.131631083
318,31800000000,31799951500,100000000,99926700,0.133680000
319,31900000000,31900039600,100000000,100088100,0.133308583
320,32000000000,32000028000,100000000,99988400,0.132913833
321,32100000000,32100032400,100000000,100004400,0.133720708
322,32200000000,32200530400,100000000,100498000,0.134325458
323,32300000000,32300031000,100000000,99500600,0.133383042
324,32400000000,32399955400,100000000,99924400,0.133810458
325,32500000000,32500036800,100000000,100081400,0.133534833
326,32600000000,32599989700,100000000,99952900,0.131460875
327,32700000000,32700025200,100000000,100035500,0.134037958
328,32800000000,32799948700,100000000,99923500,0.133501958
329,32900000000,32899960000,100000000,100011300,0.134117625
330,33000000000,32999955200,100000000,99995200,0.133852375
331,33100000000,33100011900,100000000,100056700,0.133849750
332,33200000000,33200068700,100000000,100056800,0.133397542
333,33300000000,33299987600,100000000,99918900,0.133674209
334,33400000000,33400032200,100000000,100044600,0.133400958
335,33500000000,33500041400,100000000,100009200,0.133917042
336,33600000000,33600028000,100000000,99986600,0.133472750
337,33700000000,33699972400,100000000,99944400,0.133386792
338,33800000000,33800024800,100000000,100052400,0.133266625
339,33900000000,33899973900,100000000,99949100,0.133795583
340,34000000000,33999976600,100000000,100002700,0.133499000
341,34100000000,34099955400,100000000,99978800,0.133500291
342,34200000000,34200044500,100000000,100089100,0.133931708
343,34300000000,34299951500,100000000,99907000,0.133640750
344,34400000000,34400045500,100000000,100094000,0.133313958
345,34500000000,34499986800,100000000,99941300,0.133670041
346,34600000000,34599962700,100000000,99975900,0.133867209
347,34700000000,34700695100,100000000,100732400,0.133417750
348,34800000000,34799988800,100000000,99293700,0.132920750
349,34900000000,34900035800,100000000,100047000,0.132628542
350,35000000000,35000079500,100000000,100043700,0.134350292
